Word,Frequency
love,2332
people,2329
angry,1855
someone,1698
anger,1665
never,1649
one,1627
sad,1602
xa0,1563
sometimes,1446
life,1444
like,1402
make,1356
status,1241
heart,1224
person,1141
smile,1106
always,1091
happiness,1075
care,1064
hurt,1040
whatsapp,1016
know,997
everything,962
get,959
things,954
need,875
much,868
time,849
go,847
pain,822
even,822
want,811
still,759
every,758
think,751
happy,730
feel,728
say,714
nothing,670
change,596
best,594
something,586
tears,586
cry,582
reason,568
inside,548
forget,526
tell,524
miss,518
